Source,RA_ICRS,DE_ICRS,BPmag,RPmag,Gmag,GMAG,Teff,Rad,Lum-Flame,Plx,Dist,bp_rp,spectral_class,cluster_silhouette,cluster_k7
201575704402680576,74.80694434471,40.75251571522001,16.584644,15.542269,16.156528,1.2672,9924.707,1.8842,30.969803,0.0813,3769.694,1.0423750000000016,B,1,6
4118136349991013376,265.22334663527,-20.98480517435,16.505661,13.97679,15.162281,-1.8712,19328.479,4.2727,2289.8384,0.0564,2319.4897,2.5288710000000005,O,4,4
2215671412085227008,358.40888967284,71.49051339546,8.778163000000001,8.441934,8.665503,1.3346,9322.072,1.9493,26.376038,4.5253,221.6228,0.3362290000000012,A,0,5
205938910138944896,77.1274118561,45.54059059366,15.66708,15.06585,15.446928,0.732,11611.135,2.0895,74.08919,0.2383,4749.1377,0.601230000000001,B,0,5
3118476488344498816,94.98796928839,-1.45191427304,12.068037,11.521884,11.866641,-0.2352,8109.0127,4.8558,21.56377,1.051,1894.1685,0.5461530000000003,A,0,5
1825424395773990528,293.25842839125,19.50936560071,12.102554,10.808785,11.540147,-3.821,17944.33,11.1066,,0.1693,3005.5032,1.2937689999999993,O,1,1
128961791839720704,44.19214496775,29.252441627920003,14.05871,12.991099,13.60906,1.4912,5924.3335,4.0822,10.835609,0.5476,1995.9205,1.0676109999999994,G,2,6
2005959291589867136,335.29945524413995,55.59631068936999,14.430193,13.918206,14.244693,-0.8388,11326.848999999998,4.3353,121.7781,0.2284,6103.46,0.5119869999999995,B,0,1
88247082418917376,39.26200494499,20.85710640848,14.227459,13.260053,13.846634,4.0346,5527.344,1.4927,2.0950205000000004,1.1065,824.8694,0.9674060000000004,G,2,0
4053075085872891648,275.15163475809,-25.65444946613,15.536194,13.369776000000002,14.411656,0.4223,4673.774,11.7165,59.92272,0.1228,2756.2043,2.1664179999999984,M,1,4
3604602915790923264,202.42972044058,-16.42561737195,15.704145,13.725784,14.721907,6.709,4928.6885,0.5664,0.07928535,5.3088,181.2637,1.978361,M,3,3
129713582912591488,40.83285160181,30.04225614634,14.202889,13.304068,13.839912,4.0688,6099.397,1.1938,1.6692392,1.3285,752.4294,0.8988210000000016,G,2,0
3454695053786931072,87.47404483493,34.604143300420006,16.340982,14.206368,15.238622,0.0883,5010.2803,11.56,339.98013,0.0904,4230.304,2.134614000000001,M,1,4
239620799586311552,48.22629784075,41.87529075449,14.201423000000002,13.306698999999998,13.839072,4.8814,5510.5806,1.0088,0.8526518,1.63,593.9479,0.8947240000000036,G,2,0
4111200321378761344,260.47519860978,-23.61651830883,16.793383,15.071055,16.046314000000002,-0.8351,16378.295,3.1456,436.76907,0.1115,4374.753,1.7223279999999992,O,1,6
185069835846533376,75.94882213773,34.25075331263,16.284212,14.344873000000002,15.313173999999998,1.4584,5153.3486,5.6449,20.377851,0.1598,2636.5195,1.9393389999999984,K,1,6
4043258027541810304,269.44832179359,-33.20657279613,17.589632,14.450004000000002,15.751504999999998,-1.0439,3832.9048,48.684,344.95532000000003,0.1595,8310.003,3.139628,M,4,4
150074064358890496,63.18757443521999,24.64324384796,14.843365,13.550465,14.274426,5.1228,5628.4385,0.8562,0.7226533,2.0853,449.8906,1.2928999999999995,G,2,0
