cluster_k7,A,B,F,G,K,M,O
0,0.02120640904806786,0.004241281809613572,0.4135249764373233,0.4293119698397738,0.13077285579641848,0.000942507068803016,0.0
1,0.04794520547945205,0.4563356164383562,0.0008561643835616438,0.0,0.0017123287671232876,0.0,0.4931506849315068
2,0.0,0.0030581039755351682,0.0,0.0,0.0030581039755351682,0.9204892966360856,0.07339449541284404
3,0.0,0.0,0.0,0.000931098696461825,0.15083798882681565,0.8482309124767226,0.0
4,0.0029222676797194622,0.005260081823495032,0.0011689070718877848,0.02104032729398013,0.1163062536528346,0.4097019286966686,0.4436002337814144
5,0.5376306620209059,0.2714285714285714,0.021602787456445994,0.0010452961672473868,0.0,0.0,0.16829268292682928
6,0.11742133537989255,0.25326170376055257,0.06907137375287797,0.052954719877206444,0.4148119723714505,0.0318495778971604,0.060629316960859554
