cluster_silhouette,A,B,F,G,K,M,O
0,0.38177533385703066,0.35689971196648335,0.006546216286986122,0.0002618486514794449,0.0,0.0,0.2545168892380204
1,0.07634943181818182,0.1825284090909091,0.023792613636363636,0.04296875,0.40092329545454547,0.10866477272727272,0.16477272727272727
2,0.06689924071413914,0.02442027498460907,0.39154524933305973,0.3837471783295711,0.13215678226964908,0.001231274368971886,0.0
3,0.0,0.0,0.0,0.0009157509157509158,0.16483516483516483,0.8342490842490843,0.0
4,0.0007142857142857143,0.002857142857142857,0.0,0.005,0.03357142857142857,0.555,0.40285714285714286
